schl,aun,name,districtname,leatype,total,d_asian,d_black,d_hispanic,d_islander,d_native,d_white,d_2_or_more,d_econ,d_ell,d_sped,d_title_1,d_male,d_female,d_street,d_state,d_zip,d_telephone,d_Website,d_county,d_cte_programs,d_enrollment,d_gifted,d_grades_offered,d_iu_name,d_iu_website
0003,112011103,Bermudian Springs HS,Bermudian Springs School District,SD,616,0.2,1,13.6,0,0.2,84.4,0.6,36.5,2.6,10.2,No,49.2,50.8,7335 Carlisle Pike,PA,17372,717-528-4113,http://www.bermudian.org,York Springs,Not Available,616,6,"9, 10, 11, 12",Lincoln IU 12,http://www.iu12.org
0010,112013753,Gettysburg Area MS,Gettysburg Area School District,SD,751,1.6,5.6,14.2,0,0.1,76.3,2.1,47.1,2.7,13.4,No,53.1,46.9,37 Lefever St,PA,17325,717-334-6254,http://www.gettysburg.k12.pa.us,Gettysburg,Not Available,751,10.9,"6, 7, 8",Lincoln IU 12,http://www.iu12.org
0013,112015203,Maple Avenue MS,Littlestown Area School District,SD,481,1,1.9,4.6,0,0.4,89.4,2.7,39.7,0.6,11.9,No,50.7,49.3,75 Maple Avenue,PA,17340,717-359-4146,http://www.lasd.k12.pa.us,Littlestown,Not Available,481,3.5,"6, 7, 8",Lincoln IU 12,http://www.iu12.org
0014,112015203,Littlestown SHS,Littlestown Area School District,SD,614,0.6,1.5,3.1,0,0.3,93.5,1,33.6,0.7,12.7,No,53.6,46.4,200 E Myrtle St,PA,17340,717-359-4146,http://www.lasd.k12.pa.us,Littlestown,Not Available,614,5.7,"9, 10, 11, 12",Lincoln IU 12,http://www.iu12.org
0017,112011603,New Oxford SHS,Conewago Valley School District,SD,1202,0.8,1.8,14.6,0,0,79.6,3.1,39.2,0.5,14.1,No,51.2,48.8,130 Berlin Road,PA,17350,717-624-2157,http://www.conewago.k12.pa.us,New Oxford,Not Available,1202,4.2,"9, 10, 11, 12",Lincoln IU 12,http://www.iu12.org
0018,112018523,Arendtsville El Sch,Upper Adams School District,SD,190,0.5,0,29.5,0,0,69,1,56.3,11.1,18.9,No,52.1,47.9,136 Fohl Street,PA,17303,717-677-7191,http://www.upperadams.org,Arendtsville,Not Available,190,3.2,"4, 5, 6",Lincoln IU 12,http://www.iu12.org
0019,112018523,Bendersville El Sch,Upper Adams School District,SD,191,0,1,29.3,0,0,68.1,1.6,52.4,11.5,16.8,No,48.7,51.3,137 Rampike Hill Road,PA,17306,717-677-3300,http://www.upperadams.org,Bendersville,Not Available,191,4.2,"4, 5, 6",Lincoln IU 12,http://www.iu12.org
0021,112018523,Biglerville HS,Upper Adams School District,SD,528,0.2,1.1,26.9,0,0,70.8,1,42.4,4.4,12.9,No,53.2,46.8,135 North Main Street,PA,17307,717-677-7191,http://www.upperadams.org,Biglerville,Not Available,528,6.8,"9, 10, 11, 12",Lincoln IU 12,http://www.iu12.org
0024,103020603,Colfax Upper El Sch,Allegheny Valley School District,SD,222,0,2.7,1.4,0,0,92.3,3.6,53.2,0.5,16.2,Yes,53.6,46.4,430 Colfax St,PA,15144,724-274-7200,http://www.avsdweb.org,Springdale,Not Available,222,3.6,"4, 5, 6",Allegheny IU 3,http://www.aiu3.net
0029,103020603,Springdale JSHS,Allegheny Valley School District,SD,419,0.5,1,1,0,0,95.5,2.2,47.7,0.7,12.2,No,52.5,47.5,501 Butler Rd,PA,15144,724-274-8100,http://www.avsdweb.org,Springdale,Not Available,419,8.1,"7, 8, 9, 10, 11, 12",Allegheny IU 3,http://www.aiu3.net
